date,open,high,low,close,volume,time,date_only,ticker
2024-10-07 09:55:00+05:30,199.45,199.79,197.56,198.09,119589,09:55:00,2024-10-07,ENGINERSIN
2024-10-07 10:00:00+05:30,198.09,198.15,195.6,196.19,163955,10:00:00,2024-10-07,ENGINERSIN
2024-10-07 10:05:00+05:30,196.19,197.37,195.96,196.4,109900,10:05:00,2024-10-07,ENGINERSIN
2024-10-07 10:10:00+05:30,196.4,196.48,195.5,195.5,85909,10:10:00,2024-10-07,ENGINERSIN
2024-10-07 10:15:00+05:30,195.5,196.5,195.15,195.31,124001,10:15:00,2024-10-07,ENGINERSIN
2024-10-07 10:20:00+05:30,195.3,195.7,195.0,195.33,122492,10:20:00,2024-10-07,ENGINERSIN
2024-10-07 10:25:00+05:30,195.43,195.63,194.23,194.23,89558,10:25:00,2024-10-07,ENGINERSIN
2024-10-07 10:30:00+05:30,194.21,194.53,194.0,194.26,89413,10:30:00,2024-10-07,ENGINERSIN
2024-10-07 10:35:00+05:30,194.23,194.79,193.51,193.51,94238,10:35:00,2024-10-07,ENGINERSIN
2024-10-07 10:40:00+05:30,193.67,194.0,193.15,193.85,75766,10:40:00,2024-10-07,ENGINERSIN
2024-10-07 10:45:00+05:30,193.85,194.0,190.5,191.1,310696,10:45:00,2024-10-07,ENGINERSIN
2024-10-07 10:50:00+05:30,191.1,191.5,190.0,190.91,381473,10:50:00,2024-10-07,ENGINERSIN
2024-10-07 10:55:00+05:30,190.91,191.93,190.5,190.78,156372,10:55:00,2024-10-07,ENGINERSIN
2024-10-07 11:00:00+05:30,190.78,191.21,190.01,190.39,101348,11:00:00,2024-10-07,ENGINERSIN
2024-10-07 11:05:00+05:30,190.39,192.5,189.1,191.9,277392,11:05:00,2024-10-07,ENGINERSIN
2024-10-07 11:10:00+05:30,191.74,192.6,191.3,192.36,123523,11:10:00,2024-10-07,ENGINERSIN
2024-10-07 11:15:00+05:30,192.38,193.95,192.38,193.32,200273,11:15:00,2024-10-07,ENGINERSIN
2024-10-07 11:20:00+05:30,193.22,195.0,193.22,194.77,229392,11:20:00,2024-10-07,ENGINERSIN
2024-10-07 11:25:00+05:30,194.77,195.1,193.73,193.73,130140,11:25:00,2024-10-07,ENGINERSIN
2024-10-07 11:30:00+05:30,193.89,194.58,193.45,194.11,67875,11:30:00,2024-10-07,ENGINERSIN
2024-10-07 11:35:00+05:30,194.11,194.11,193.06,193.4,36252,11:35:00,2024-10-07,ENGINERSIN
2024-10-07 11:40:00+05:30,193.46,193.46,192.41,192.9,65752,11:40:00,2024-10-07,ENGINERSIN
2024-10-07 11:45:00+05:30,192.89,193.75,192.88,193.39,37457,11:45:00,2024-10-07,ENGINERSIN
